feedback_id,customer_id,text,date,product,department,channel,location,segment,rating,status
FB-10015,CU-5345,The courier missed the delivery window three times in Mumbai. Our enterprise account is affected.,2025-12-26T02:34:00+00:00,InsightCRM,Operations,Email,Hyderabad,Enterprise,2,resolved
FB-10016,CU-2891,"For the record, We cannot login to InsightPortal since the last update. A workaround exists but it is not acceptable long term. Sharing this from the field.",2026-02-15T21:06:00+00:00,InsightMobile,Engineering,Mobile App,New York,Partner,2,open
FB-10017,CU-5291,Billing error created an unauthorized charge on our card. Our enterprise account is affected.,2025-12-12T00:21:00+00:00,InsightMobile,Finance,Email,New York,Consumer,2,in_progress
FB-10018,CU-1653,"Hi, Loved the new InsightCloud dashboard, it is clean and fast. We have seen this twice already. Sharing this from the field.",2026-01-02T01:19:00+00:00,InsightSecure,HR,Survey,Delhi,Internal,5,open
FB-10019,CU-5065,"Hello team, Call center agents read from a script and did not understand the issue. We have seen this twice already. Thanks.",2026-06-07T10:50:00+00:00,InsightChat,HR,Social Media,Mumbai,Internal,1,open
FB-10020,CU-2137,"Hi, Is there a sandbox for InsightPay chargebacks? The issue started last Thursday. Thanks.",2026-01-19T12:21:00+00:00,InsightAnalytics,HR,Social Media,Hyderabad,Internal,3,in_progress
FB-10021,CU-9379,"To be clear, Chat support was knowledgeable and patient. Please treat this as high priority. Please advise.",2026-03-22T11:46:00+00:00,InsightSecure,Customer Support,Mobile App,Pune,Partner,4,open
FB-10022,CU-5920,Quick update: Documentation is outdated and caused a production misconfiguration. A workaround exists but it is not acceptable long term.,2026-02-19T21:54:00+00:00,InsightCloud,Finance,Social Media,London,Consumer,2,open
FB-10023,CU-5700,"For the record, Sales team prepared a thoughtful demo for our executives. This is impacting customers in London. Thanks.",2026-03-14T17:53:00+00:00,InsightPay,Product,Call Center,Pune,Partner,5,resolved
FB-10024,CU-4848,"For the record, Mobile users report they cannot complete signup on InsightPortal. The issue started last Thursday. Thanks.",2026-04-11T21:40:00+00:00,InsightSecure,Customer Support,Social Media,Delhi,SMB,2,open
FB-10025,CU-2746,"For the record, Security alert fired after suspicious admin logins. This is impacting customers in New York. Looking forward to a fix.",2026-01-07T20:44:00+00:00,InsightPay,Engineering,Chat,Delhi,SMB,1,resolved
FB-10026,CU-9270,"Hello team, I am delighted with the quality of the latest InsightPay release. The issue started last Thursday. Looking forward to a fix.",2026-05-02T10:48:00+00:00,InsightPortal,Sales,Chat,Dubai,Partner,5,in_progress
FB-10027,CU-5451,"To be clear, Security alert fired after suspicious admin logins. The issue started last Thursday. Looking forward to a fix.",2026-03-23T02:45:00+00:00,InsightAnalytics,Engineering,Survey,Hyderabad,Partner,2,open
FB-10028,CU-1320,Quick update: I am angry that the ticket was closed without a resolution. The issue started last Thursday. Please advise.,2025-12-16T06:53:00+00:00,InsightChat,Customer Support,Chat,Chennai,Enterprise,2,closed
FB-10029,CU-3704,"Hello team, I am angry that the ticket was closed without a resolution. A workaround exists but it is not acceptable long term. Please advise.",2026-03-10T10:42:00+00:00,InsightChat,Customer Support,Internal,Mumbai,Partner,1,in_progress
FB-10030,CU-7211,Quick update: Where can I find the data retention policy? This is impacting customers in Dubai. Thanks.,2026-02-22T06:29:00+00:00,InsightSecure,Product,Social Media,Singapore,Consumer,3,open
FB-10031,CU-3068,"For the record, Delivery was extremely late and customer support did not respond. The issue started last Thursday.",2026-07-03T00:39:00+00:00,InsightMobile,Operations,Internal,London,Enterprise,1,in_progress
FB-10032,CU-4249,"Hello team, The courier missed the delivery window three times in Mumbai. I am following up because there was no response. Please advise.",2026-07-26T09:36:00+00:00,InsightChat,Operations,Mobile App,Jaipur,Internal,1,resolved
FB-10033,CU-7882,"To be clear, Authentication failures are blocking our entire sales team. I am following up because there was no response. Looking forward to a fix.",2026-04-09T20:21:00+00:00,InsightPay,HR,Internal,Surat,Consumer,1,closed
FB-10034,CU-8136,"For the record, Chat support was knowledgeable and patient. We have seen this twice already. Sharing this from the field.",2026-06-25T17:49:00+00:00,InsightPortal,Customer Support,Social Media,Hyderabad,SMB,5,resolved
FB-10035,CU-5581,Mobile users report they cannot complete signup on InsightCRM. The team mentioned InsightChat in the weekly review. Looking forward to a fix.,2026-01-24T11:51:00+00:00,InsightAnalytics,Product,Social Media,Kolkata,Enterprise,2,in_progress
FB-10036,CU-7625,Quick update: Response time from customer support is getting worse every week. A workaround exists but it is not acceptable long term. Logged by the duty manager.,2026-06-21T00:05:00+00:00,InsightAnalytics,Customer Support,Call Center,Bangalore,Internal,2,in_progress
FB-10037,CU-2958,"For the record, Sales team prepared a thoughtful demo for our executives. A workaround exists but it is not acceptable long term. Looking forward to a fix.",2026-01-29T03:46:00+00:00,InsightCRM,Product,Email,Delhi,SMB,5,resolved
FB-10038,CU-5786,"Hi, Search is too slow to be usable during business hours. The issue started last Thursday. Thanks.",2026-04-16T04:17:00+00:00,InsightPay,Customer Support,Email,London,Consumer,2,open
FB-10039,CU-3444,Authentication failures are blocking our entire sales team. The team mentioned InsightSecure in the weekly review. Please advise.,2026-03-13T15:04:00+00:00,InsightPay,Operations,Social Media,Surat,SMB,1,open
FB-10040,CU-4404,Quick update: Where can I find the data retention policy? A workaround exists but it is not acceptable long term. Please advise.,2026-04-25T19:03:00+00:00,InsightCloud,HR,Call Center,Bangalore,Internal,3,open
FB-10041,CU-8438,"For the record, Call center agents read from a script and did not understand the issue. This happened after the latest update. Sharing this from the field.",2026-01-29T09:45:00+00:00,InsightAnalytics,Finance,Mobile App,London,SMB,1,closed
FB-10042,CU-3037,"Hello team, Consider adding a weekly digest for managers. Please treat this as high priority. Please advise.",2026-01-12T09:38:00+00:00,InsightAnalytics,Engineering,Internal,New York,Startup,3,resolved
FB-10043,CU-5415,"For the record, Average experience so far, we are still evaluating InsightPortal. Please treat this as high priority. Please advise.",2025-12-24T07:43:00+00:00,InsightPay,HR,Website,Singapore,SMB,3,in_progress
FB-10044,CU-3634,Quick update: We are happy with the reliability of InsightAnalytics this quarter. I am following up because there was no response.,2026-02-24T10:42:00+00:00,InsightCloud,HR,Survey,Pune,Internal,5,in_progress
FB-10045,CU-4073,"Hi, Documentation update saved our engineering team hours. Please treat this as high priority.",2026-05-18T17:29:00+00:00,InsightChat,Customer Support,Survey,Jaipur,Consumer,5,resolved
FB-10046,CU-1224,"For the record, We may add twenty more seats if the trial goes well. We have seen this twice already. Looking forward to a fix.",2026-05-05T07:45:00+00:00,InsightMobile,Product,Chat,Surat,SMB,3,closed
FB-10047,CU-3369,"Hi, Feature request: webhook retries with exponential backoff. We have seen this twice already. Sharing this from the field.",2026-07-02T15:30:00+00:00,InsightCRM,Engineering,Chat,Delhi,Partner,3,in_progress
FB-10048,CU-3434,"To be clear, Is there a sandbox for InsightPay chargebacks? This is impacting customers in Singapore. Please advise.",2026-02-15T18:37:00+00:00,InsightPortal,HR,Internal,Kolkata,Consumer,3,open
FB-10049,CU-7246,"Hello team, Sales team prepared a thoughtful demo for our executives. I attached screenshots in the original ticket. Sharing this from the field.",2025-12-12T10:47:00+00:00,InsightPortal,Customer Support,Chat,London,Internal,5,closed
FB-10050,CU-3529,"Loved the new InsightMobile dashboard, it is clean and fast. I am following up because there was no response. Looking forward to a fix.",2025-12-04T23:09:00+00:00,InsightChat,HR,Mobile App,Chennai,Startup,4,open
FB-10051,CU-2480,"For the record, The interface redesign is intuitive and reduced training time. I attached screenshots in the original ticket. Logged by the duty manager.",2026-05-08T02:15:00+00:00,InsightAnalytics,Customer Support,Chat,Surat,Internal,5,resolved
FB-10052,CU-3950,We cannot login to InsightAnalytics since the last update. This happened after the latest update. Please advise.,2026-01-07T07:33:00+00:00,InsightChat,Engineering,Email,Mumbai,Enterprise,2,resolved
FB-10053,CU-9955,Quick update: The interface redesign is intuitive and reduced training time. I am following up because there was no response. Logged by the duty manager.,2026-05-20T00:57:00+00:00,InsightPortal,Product,Email,Surat,Consumer,5,closed
FB-10054,CU-5847,"Hi, Sharing an FYI that finance will review invoices tomorrow. Our enterprise account is affected. Thanks.",2026-01-30T12:36:00+00:00,InsightSecure,Sales,Social Media,Ahmedabad,Internal,3,in_progress
FB-10055,CU-2591,"Hi, The InsightPortal checkout failed and I was still charged. Our enterprise account is affected. Thanks.",2026-02-03T21:48:00+00:00,InsightMobile,Finance,Website,Bangalore,Consumer,2,open
FB-10056,CU-8894,"Hello team, Package for InsightCloud arrived damaged in Bangalore. I attached screenshots in the original ticket. Thanks.",2026-04-08T08:53:00+00:00,InsightMobile,Customer Support,Social Media,New York,Startup,2,resolved
FB-10057,CU-5295,"To be clear, Customer support resolved our incident in twenty minutes. The issue started last Thursday. Please advise.",2026-02-06T17:07:00+00:00,InsightPortal,Customer Support,Chat,Dubai,Internal,4,closed
FB-10058,CU-3290,"Hello team, Response time from customer support is getting worse every week. I am following up because there was no response. Logged by the duty manager.",2026-07-21T22:19:00+00:00,InsightChat,Customer Support,Website,Ahmedabad,Startup,2,closed
FB-10059,CU-2622,"For the record, Response time from customer support is getting worse every week. The team mentioned InsightSecure in the weekly review. Logged by the duty manager.",2026-06-09T23:09:00+00:00,InsightChat,Customer Support,Internal,Jaipur,Consumer,2,closed
FB-10060,CU-5520,"Hi, The latest release introduced a severe performance regression. The team mentioned InsightCRM in the weekly review.",2026-07-19T20:22:00+00:00,InsightPay,Engineering,Call Center,Surat,Consumer,2,open
FB-10061,CU-3417,"To be clear, Duplicate invoices were sent to finance after renewal. I attached screenshots in the original ticket. Thanks.",2026-04-30T06:52:00+00:00,InsightCRM,Customer Support,Website,Bangalore,SMB,1,closed
FB-10062,CU-7897,"Hi, InsightSecure audit logs are exactly what compliance needed. This happened after the latest update. Thanks.",2026-01-14T08:03:00+00:00,InsightMobile,Finance,Mobile App,New York,Enterprise,5,in_progress
FB-10063,CU-7580,"Average experience so far, we are still evaluating InsightCloud. A workaround exists but it is not acceptable long term. Logged by the duty manager.",2026-03-28T20:01:00+00:00,InsightPay,Engineering,Chat,London,Enterprise,4,in_progress
FB-10064,CU-9692,"Hello team, Please confirm whether SSO is enabled for partner accounts. I am following up because there was no response. Please advise.",2026-04-20T22:20:00+00:00,InsightChat,Sales,Social Media,Chennai,Partner,4,resolved
FB-10065,CU-5176,"Hi, Support never called back after I reported a critical outage. The team mentioned InsightCRM in the weekly review. Looking forward to a fix.",2025-12-25T10:27:00+00:00,InsightSecure,Customer Support,Survey,Mumbai,Internal,2,closed
FB-10066,CU-6793,"Hello team, I am frustrated that the InsightCloud app crashes during payment. Please treat this as high priority. Sharing this from the field.",2026-04-23T10:42:00+00:00,InsightCloud,Engineering,Chat,Dubai,Internal,2,open
FB-10067,CU-5564,"For the record, Authentication failures are blocking our entire sales team. I am following up because there was no response. Looking forward to a fix.",2026-07-05T17:23:00+00:00,InsightCloud,HR,Call Center,Singapore,Consumer,2,resolved
FB-10068,CU-7566,"Hi, Is there a sandbox for InsightPay chargebacks? Our enterprise account is affected. Logged by the duty manager.",2025-12-02T05:55:00+00:00,InsightMobile,Sales,Mobile App,Mumbai,Internal,3,resolved
FB-10069,CU-3549,"Hello team, Price increase was communicated poorly and feels unjustified. This is impacting customers in Hyderabad. Please advise.",2026-06-17T18:38:00+00:00,InsightCloud,Customer Support,Email,Singapore,Partner,2,open
FB-10070,CU-6053,"Hi, Mobile users report they cannot complete signup on InsightChat. I am following up because there was no response. Thanks.",2026-03-21T03:18:00+00:00,InsightPortal,Sales,Website,Delhi,Consumer,2,closed
FB-10071,CU-4770,"Hi, Billing error created an unauthorized charge on our card. We have seen this twice already.",2026-03-21T05:08:00+00:00,InsightChat,Sales,Survey,Surat,Consumer,2,resolved
FB-10072,CU-8538,Quick update: Delivery was extremely late and customer support did not respond. I attached screenshots in the original ticket. Logged by the duty manager.,2025-12-30T12:01:00+00:00,InsightSecure,Operations,Survey,Surat,Consumer,2,resolved
FB-10073,CU-9355,"Hi, Search is too slow to be usable during business hours. Please treat this as high priority. Logged by the duty manager.",2026-06-18T05:04:00+00:00,InsightCloud,Sales,Call Center,Singapore,Startup,2,open
FB-10074,CU-8354,"Hello team, Consider adding a weekly digest for managers. Please treat this as high priority. Thanks.",2025-12-20T05:49:00+00:00,InsightPortal,Engineering,Survey,Dubai,Internal,3,open
FB-10075,CU-5703,I am delighted with the quality of the latest InsightPortal release. Our enterprise account is affected. Please advise.,2026-03-29T14:02:00+00:00,InsightPay,Product,Mobile App,London,Enterprise,5,resolved
FB-10076,CU-2381,"To be clear, I am delighted with the quality of the latest InsightPay release. I am following up because there was no response. Looking forward to a fix.",2026-03-26T03:51:00+00:00,InsightSecure,Finance,Email,Ahmedabad,SMB,5,resolved
FB-10077,CU-6401,"Quick update: Average experience so far, we are still evaluating InsightMobile. I attached screenshots in the original ticket. Please advise.",2026-06-21T20:41:00+00:00,InsightSecure,Customer Support,Mobile App,Kolkata,Internal,4,in_progress
FB-10078,CU-7171,"Hi, Duplicate invoices were sent to finance after renewal. Please treat this as high priority. Logged by the duty manager.",2026-01-03T19:45:00+00:00,InsightCloud,Product,Survey,Dubai,SMB,2,resolved
FB-10079,CU-3538,"Hi, Need access for two additional analysts this week. This is impacting customers in Ahmedabad. Please advise.",2026-07-31T15:12:00+00:00,InsightCRM,Operations,Mobile App,Bangalore,Enterprise,3,in_progress
FB-10080,CU-8170,Quick update: Appreciate the proactive outage communication. I attached screenshots in the original ticket. Thanks.,2026-06-16T19:51:00+00:00,InsightMobile,Customer Support,Website,Pune,Startup,4,resolved
FB-10081,CU-5616,"Hello team, Mobile users report they cannot complete signup on InsightAnalytics. The team mentioned InsightCRM in the weekly review. Please advise.",2026-05-23T18:28:00+00:00,InsightPortal,HR,Chat,Kolkata,Partner,2,in_progress
FB-10082,CU-2374,Quick update: Billing error created an unauthorized charge on our card. Our enterprise account is affected. Please advise.,2026-07-05T16:54:00+00:00,InsightCloud,Product,Email,Bangalore,Consumer,2,closed
FB-10083,CU-1461,Quick update: Documentation is outdated and caused a production misconfiguration. The team mentioned InsightSecure in the weekly review.,2026-01-30T12:05:00+00:00,InsightSecure,Operations,Survey,Surat,Internal,2,resolved
FB-10084,CU-3449,"For the record, How do I export department analytics for last quarter? The team mentioned InsightMobile in the weekly review. Looking forward to a fix.",2026-07-20T02:01:00+00:00,InsightAnalytics,Operations,Chat,Surat,Startup,4,open
FB-10085,CU-3352,Response time from customer support is getting worse every week. I am following up because there was no response. Looking forward to a fix.,2026-05-11T16:36:00+00:00,InsightCRM,Customer Support,Social Media,Pune,Enterprise,1,resolved
FB-10086,CU-7338,"To be clear, Documentation is outdated and caused a production misconfiguration. Please treat this as high priority. Sharing this from the field.",2025-12-06T12:55:00+00:00,InsightPortal,Customer Support,Survey,Bangalore,Internal,2,open
FB-10087,CU-3986,Can you schedule a training session for the operations team? Please treat this as high priority. Please advise.,2026-01-14T21:29:00+00:00,InsightPortal,Finance,Email,Surat,Internal,3,resolved
FB-10088,CU-6848,"Hi, Payment reconciliation finally works without manual edits. The issue started last Thursday. Sharing this from the field.",2026-02-03T01:48:00+00:00,InsightCRM,Product,Website,Dubai,Internal,5,open
FB-10089,CU-7955,"Hello team, The latest release introduced a severe performance regression. The team mentioned InsightChat in the weekly review. Looking forward to a fix.",2026-07-25T16:17:00+00:00,InsightCloud,Finance,Mobile App,Pune,Partner,2,closed
FB-10090,CU-8325,"Hi, Authentication failures are blocking our entire sales team. Please treat this as high priority. Please advise.",2026-03-20T05:44:00+00:00,InsightPortal,Product,Website,New York,Startup,2,resolved
FB-10091,CU-3068,"For the record, The interface redesign is intuitive and reduced training time. This is impacting customers in Kolkata. Logged by the duty manager.",2026-07-06T19:43:00+00:00,InsightPortal,Customer Support,Mobile App,Delhi,Internal,4,open
FB-10092,CU-5566,"Hi, Refund was issued quickly and with a clear explanation. We have seen this twice already. Looking forward to a fix.",2026-04-15T11:25:00+00:00,InsightSecure,Finance,Call Center,Surat,Enterprise,4,resolved
FB-10093,CU-3828,"To be clear, Documentation update saved our engineering team hours. Our enterprise account is affected. Please advise.",2026-01-01T04:54:00+00:00,InsightCloud,Engineering,Internal,Surat,Internal,5,closed
FB-10094,CU-4292,"Hello team, Consider adding a weekly digest for managers. Please treat this as high priority. Logged by the duty manager.",2026-01-14T11:32:00+00:00,InsightCRM,Customer Support,Email,Delhi,Consumer,4,open
FB-10095,CU-7708,Great improvement in mobile performance this month. A workaround exists but it is not acceptable long term.,2026-06-03T15:33:00+00:00,InsightChat,HR,Mobile App,Mumbai,Startup,5,resolved
FB-10096,CU-6286,"Hello team, The interface redesign is intuitive and reduced training time. A workaround exists but it is not acceptable long term. Looking forward to a fix.",2026-04-12T04:19:00+00:00,InsightMobile,Operations,Call Center,Hyderabad,Partner,5,closed
FB-10097,CU-6531,"For the record, Sharing an FYI that finance will review invoices tomorrow. A workaround exists but it is not acceptable long term. Please advise.",2026-04-08T20:10:00+00:00,InsightMobile,Operations,Website,Dubai,Enterprise,4,open
FB-10098,CU-7653,"For the record, The current plan is acceptable but we will compare alternatives. The issue started last Thursday.",2026-02-13T20:19:00+00:00,InsightPortal,Operations,Social Media,Chennai,Enterprise,4,resolved
FB-10099,CU-7070,"Hello team, Documentation is outdated and caused a production misconfiguration. The issue started last Thursday. Please advise.",2026-07-09T11:25:00+00:00,InsightMobile,HR,Mobile App,Hyderabad,SMB,2,in_progress
FB-10100,CU-3610,"To be clear, Response time from customer support is getting worse every week. This happened after the latest update. Looking forward to a fix.",2026-07-28T18:46:00+00:00,InsightSecure,Customer Support,Internal,Kolkata,Consumer,2,in_progress
FB-10101,CU-9793,"Hello team, Delivery was extremely late and customer support did not respond. A workaround exists but it is not acceptable long term. Sharing this from the field.",2026-02-11T15:38:00+00:00,InsightPortal,Operations,Website,Dubai,Enterprise,1,in_progress
FB-10102,CU-9261,Quick update: Need access for two additional analysts this week. This is impacting customers in Ahmedabad.,2026-03-03T17:18:00+00:00,InsightCloud,Engineering,Internal,Singapore,Partner,4,open
FB-10103,CU-1637,"Hi, Consider adding a weekly digest for managers. Please treat this as high priority. Sharing this from the field.",2026-05-04T16:25:00+00:00,InsightPay,Customer Support,Email,New York,Startup,3,resolved
FB-10104,CU-5911,Quick update: Delivery to Hyderabad was earlier than the estimated date. I am following up because there was no response. Sharing this from the field.,2026-02-25T16:53:00+00:00,InsightPortal,Operations,Internal,Dubai,Enterprise,5,open
FB-10105,CU-7229,"For the record, Documentation update saved our engineering team hours. This happened after the latest update. Sharing this from the field.",2025-12-14T18:30:00+00:00,InsightMobile,Sales,Email,Dubai,Internal,5,open
FB-10106,CU-2020,Quick update: Appreciate the proactive outage communication. This happened after the latest update. Thanks.,2026-03-16T16:49:00+00:00,InsightPortal,HR,Email,Kolkata,SMB,5,in_progress
FB-10107,CU-8932,"Hi, Feature request: webhook retries with exponential backoff. We have seen this twice already. Sharing this from the field.",2026-05-24T20:51:00+00:00,InsightAnalytics,Sales,Call Center,Delhi,Startup,4,in_progress
FB-10108,CU-6654,Quick update: Authentication failures are blocking our entire sales team. The issue started last Thursday. Please advise.,2026-02-12T03:36:00+00:00,InsightChat,Engineering,Email,Bangalore,Enterprise,2,open
FB-10109,CU-1831,"Hello team, Great improvement in mobile performance this month. Our enterprise account is affected. Sharing this from the field.",2026-02-08T04:06:00+00:00,InsightCRM,Operations,Call Center,London,SMB,5,open
FB-10110,CU-5676,"Hello team, Appreciate the proactive outage communication. We have seen this twice already. Looking forward to a fix.",2026-05-16T06:48:00+00:00,InsightAnalytics,Product,Website,Singapore,Enterprise,5,resolved
FB-10111,CU-2758,Quick update: The InsightMobile checkout failed and I was still charged. We have seen this twice already. Looking forward to a fix.,2026-07-13T01:00:00+00:00,InsightAnalytics,Sales,Survey,Bangalore,Consumer,2,closed
FB-10112,CU-6523,"Hello team, I am delighted with the quality of the latest InsightMobile release. A workaround exists but it is not acceptable long term.",2026-03-28T20:16:00+00:00,InsightMobile,Customer Support,Social Media,Jaipur,Internal,5,resolved
FB-10113,CU-4858,"For the record, I am angry that the ticket was closed without a resolution. I attached screenshots in the original ticket.",2026-02-21T07:00:00+00:00,InsightAnalytics,Customer Support,Internal,Singapore,Startup,2,closed
FB-10114,CU-2923,"For the record, Search is too slow to be usable during business hours. I attached screenshots in the original ticket.",2026-03-14T21:32:00+00:00,InsightAnalytics,Customer Support,Social Media,Hyderabad,Partner,1,open
FB-10115,CU-2341,"For the record, Feature request: webhook retries with exponential backoff. I am following up because there was no response. Sharing this from the field.",2026-06-30T06:48:00+00:00,InsightCRM,Finance,Internal,Kolkata,Internal,4,open
FB-10116,CU-9008,"To be clear, Please confirm whether SSO is enabled for partner accounts. A workaround exists but it is not acceptable long term. Thanks.",2026-03-24T03:43:00+00:00,InsightCRM,Finance,Mobile App,Kolkata,Consumer,3,resolved
FB-10117,CU-4570,Quick update: Sales team prepared a thoughtful demo for our executives. I am following up because there was no response. Logged by the duty manager.,2026-03-12T08:52:00+00:00,InsightPay,Finance,Mobile App,Ahmedabad,Consumer,5,open
FB-10118,CU-7184,"Hello team, The InsightCloud checkout failed and I was still charged. This happened after the latest update. Thanks.",2026-08-04T13:23:00+00:00,InsightChat,Engineering,Chat,Surat,Internal,2,closed
FB-10119,CU-7214,"Hello team, How do I export department analytics for last quarter? We have seen this twice already. Logged by the duty manager.",2026-08-08T09:29:00+00:00,InsightChat,Sales,Call Center,Delhi,Consumer,3,open
FB-10120,CU-1724,"Hello team, Support never called back after I reported a critical outage. This is impacting customers in Delhi.",2026-03-25T19:43:00+00:00,InsightPay,Customer Support,Chat,Chennai,SMB,1,in_progress
FB-10121,CU-5944,"For the record, The current plan is acceptable but we will compare alternatives. A workaround exists but it is not acceptable long term. Sharing this from the field.",2026-06-16T21:52:00+00:00,InsightSecure,Operations,Email,London,Partner,4,open
FB-10122,CU-5913,"Hi, The InsightMobile checkout failed and I was still charged. This is impacting customers in Ahmedabad. Logged by the duty manager.",2026-02-20T22:26:00+00:00,InsightChat,Operations,Chat,Mumbai,Partner,2,in_progress
FB-10123,CU-2295,Quick update: Sharing an FYI that finance will review invoices tomorrow. The team mentioned InsightPay in the weekly review. Looking forward to a fix.,2026-03-10T07:16:00+00:00,InsightCRM,Product,Internal,Dubai,Startup,4,open
FB-10124,CU-6455,We may add twenty more seats if the trial goes well. This is impacting customers in Dubai. Thanks.,2026-04-23T06:30:00+00:00,InsightCRM,HR,Social Media,Ahmedabad,SMB,4,closed
FB-10125,CU-5285,"Hello team, Please confirm whether SSO is enabled for partner accounts. I am following up because there was no response. Sharing this from the field.",2026-03-30T17:41:00+00:00,InsightSecure,Product,Survey,Kolkata,Consumer,3,in_progress
FB-10126,CU-7841,"Hi, Need access for two additional analysts this week. I attached screenshots in the original ticket. Looking forward to a fix.",2026-06-08T04:01:00+00:00,InsightAnalytics,Customer Support,Social Media,Mumbai,SMB,4,open
FB-10127,CU-3293,Quick update: Response time from customer support is getting worse every week. I attached screenshots in the original ticket. Logged by the duty manager.,2026-03-28T05:46:00+00:00,InsightSecure,Customer Support,Internal,Mumbai,Partner,2,closed
FB-10128,CU-9285,"Average experience so far, we are still evaluating InsightPay. Please treat this as high priority. Looking forward to a fix.",2025-12-18T22:09:00+00:00,InsightPay,Operations,Internal,Hyderabad,Enterprise,4,resolved
FB-10129,CU-9228,"To be clear, Refund was issued quickly and with a clear explanation. The team mentioned InsightPay in the weekly review. Sharing this from the field.",2026-04-15T23:17:00+00:00,InsightAnalytics,Customer Support,Chat,Singapore,SMB,5,open
FB-10130,CU-4700,"Hi, Package for InsightCRM arrived damaged in Delhi. I am following up because there was no response. Please advise.",2026-08-03T12:29:00+00:00,InsightCRM,Finance,Social Media,London,Enterprise,2,resolved
FB-10131,CU-8109,"To be clear, The current plan is acceptable but we will compare alternatives. This is impacting customers in Pune. Looking forward to a fix.",2026-05-29T05:05:00+00:00,InsightPortal,HR,Survey,Jaipur,Enterprise,4,closed
FB-10132,CU-6152,We may add twenty more seats if the trial goes well. I am following up because there was no response.,2026-04-24T21:02:00+00:00,InsightMobile,HR,Website,Delhi,Partner,3,open
FB-10133,CU-2284,"Hello team, Is there a sandbox for InsightPay chargebacks? Our enterprise account is affected. Sharing this from the field.",2026-02-23T12:48:00+00:00,InsightMobile,HR,Survey,Ahmedabad,Enterprise,4,in_progress
FB-10134,CU-7227,"Hi, Can you schedule a training session for the operations team? I attached screenshots in the original ticket. Looking forward to a fix.",2026-04-21T12:27:00+00:00,InsightMobile,Customer Support,Mobile App,Singapore,Partner,3,open
FB-10135,CU-8286,"For the record, I am frustrated that the InsightCloud app crashes during payment. We have seen this twice already. Thanks.",2026-03-03T03:05:00+00:00,InsightPay,Engineering,Survey,Singapore,Startup,2,open
