text,sentiment,emotion,category,intent
The delivery experience for InsightPortal was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
Delivery was extremely late and customer support did not respond.,negative,frustration,Delivery,Complaint
Delivery was extremely late and customer support did not respond. This was reported for InsightCloud.,negative,frustration,Delivery,Complaint
The courier lost my package and nobody provided a refund update.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPay.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPay.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPay.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPay.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCloud.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCloud.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCloud.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCloud.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightMobile.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightMobile.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightMobile.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightMobile.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCRM.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCRM.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCRM.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightCRM.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightAnalytics.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightAnalytics.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightAnalytics.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightAnalytics.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightSecure.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightSecure.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightSecure.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightSecure.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightChat.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightChat.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightChat.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightChat.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPortal.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPortal.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPortal.,negative,frustration,Delivery,Complaint
Shipping delay of five days ruined the rollout of InsightPortal.,negative,frustration,Delivery,Complaint
My order never arrived and the tracking page stayed stuck.,negative,frustration,Delivery,Complaint
My order never arrived and the tracking page stayed stuck. This was reported for InsightMobile.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Ahmedabad is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Surat is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in Mumbai is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
Late delivery in London is becoming a repeated issue for us.,negative,frustration,Delivery,Complaint
The package arrived damaged after a long delay.,negative,frustration,Delivery,Complaint
Delivery partner missed two scheduled slots without notice.,negative,frustration,Delivery,Complaint
Delivery partner missed two scheduled slots without notice. This was reported for InsightCRM.,negative,frustration,Delivery,Complaint
Customer support resolved my ticket in under an hour.,positive,satisfaction,Customer Support,Praise
"The agent was patient, knowledgeable, and genuinely helpful.",positive,satisfaction,Customer Support,Praise
"The agent was patient, knowledgeable, and genuinely helpful. This was reported for InsightAnalytics.",positive,satisfaction,Customer Support,Praise
Live chat support walked me through the setup perfectly.,positive,satisfaction,Customer Support,Praise
I am impressed with how quickly the helpdesk closed my request.,positive,satisfaction,Customer Support,Praise
I am impressed with how quickly the helpdesk closed my request. This was reported for InsightPortal.,positive,satisfaction,Customer Support,Praise
I waited two days and customer support still has not replied.,negative,frustration,Customer Support,Complaint
The support agent closed my ticket without solving anything.,negative,frustration,Customer Support,Complaint
The support agent closed my ticket without solving anything. This was reported for InsightPay.,negative,frustration,Customer Support,Complaint
Response time is unacceptable and I had to repeat my issue three times.,negative,frustration,Customer Support,Complaint
Nobody from support called me back after promising an update.,negative,frustration,Customer Support,Complaint
Nobody from support called me back after promising an update. This was reported for InsightPay.,negative,frustration,Customer Support,Complaint
Your helpdesk keeps transferring me between departments.,negative,frustration,Customer Support,Complaint
The new InsightPay features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPay features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPay features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPay features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCloud features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCloud features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCloud features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCloud features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightMobile features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightMobile features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightMobile features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightMobile features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCRM features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCRM features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCRM features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightCRM features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightAnalytics features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightAnalytics features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightAnalytics features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightAnalytics features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightSecure features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightSecure features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightSecure features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightSecure features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightChat features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightChat features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightChat features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightChat features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPortal features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPortal features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPortal features are intuitive and save our team hours.,positive,joy,Product,Praise
The new InsightPortal features are intuitive and save our team hours.,positive,joy,Product,Praise
Build quality of InsightPay exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPay exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPay exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPay exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCloud exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCloud exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCloud exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCloud exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightMobile exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightMobile exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightMobile exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightMobile exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCRM exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCRM exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCRM exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightCRM exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightAnalytics exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightAnalytics exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightAnalytics exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightAnalytics exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightSecure exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightSecure exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightSecure exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightSecure exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightChat exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightChat exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightChat exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightChat exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPortal exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPortal exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPortal exceeded our expectations.,positive,joy,Product,Praise
Build quality of InsightPortal exceeded our expectations.,positive,joy,Product,Praise
We love the reliability of InsightPay during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPay during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPay during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPay during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCloud during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCloud during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCloud during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCloud during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightMobile during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightMobile during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightMobile during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightMobile during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCRM during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCRM during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCRM during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightCRM during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightAnalytics during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightAnalytics during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightAnalytics during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightAnalytics during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightSecure during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightSecure during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightSecure during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightSecure during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightChat during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightChat during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightChat during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightChat during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPortal during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPortal during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPortal during peak hours.,positive,joy,Product,Praise
We love the reliability of InsightPortal during peak hours.,positive,joy,Product,Praise
Product onboarding was simple and the value was immediate.,positive,joy,Product,Praise
The latest InsightPay release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPay release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPay release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPay release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCloud release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCloud release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCloud release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCloud release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightMobile release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightMobile release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightMobile release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightMobile release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCRM release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCRM release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCRM release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightCRM release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightAnalytics release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightAnalytics release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightAnalytics release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightAnalytics release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightSecure release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightSecure release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightSecure release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightSecure release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightChat release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightChat release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightChat release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightChat release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPortal release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPortal release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPortal release feels unfinished and buggy.,negative,disappointment,Product,Complaint
The latest InsightPortal release feels unfinished and buggy.,negative,disappointment,Product,Complaint
Product quality has declined after the last update.,negative,disappointment,Product,Complaint
Several core InsightPay features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPay features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPay features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPay features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCloud features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCloud features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCloud features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCloud features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightMobile features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightMobile features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightMobile features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightMobile features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCRM features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCRM features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCRM features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightCRM features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightAnalytics features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightAnalytics features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightAnalytics features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightAnalytics features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightSecure features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightSecure features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightSecure features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightSecure features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightChat features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightChat features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightChat features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightChat features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPortal features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPortal features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPortal features are missing for enterprise use.,negative,disappointment,Product,Complaint
Several core InsightPortal features are missing for enterprise use.,negative,disappointment,Product,Complaint
The hardware accessory arrived with a manufacturing defect.,negative,disappointment,Product,Complaint
The hardware accessory arrived with a manufacturing defect. This was reported for InsightPortal.,negative,disappointment,Product,Complaint
Checkout was seamless and the card payment succeeded instantly.,positive,satisfaction,Payment,Praise
Checkout was seamless and the card payment succeeded instantly. This was reported for InsightSecure.,positive,satisfaction,Payment,Praise
Invoicing in InsightPay is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPay is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPay is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPay is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCloud is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCloud is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCloud is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCloud is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightMobile is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightMobile is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightMobile is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightMobile is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCRM is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCRM is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCRM is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightCRM is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightAnalytics is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightAnalytics is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightAnalytics is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightAnalytics is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightSecure is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightSecure is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightSecure is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightSecure is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightChat is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightChat is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightChat is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightChat is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPortal is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPortal is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPortal is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Invoicing in InsightPortal is clear and finance approved it quickly.,positive,satisfaction,Payment,Praise
Refund was processed faster than I expected.,positive,satisfaction,Payment,Praise
Payment failed twice at checkout and the amount was still held.,negative,anger,Payment,Complaint
Payment failed twice at checkout and the amount was still held. This was reported for InsightAnalytics.,negative,anger,Payment,Complaint
I was charged twice and the refund is still pending.,negative,anger,Payment,Complaint
Billing invoice does not match the contracted pricing.,negative,anger,Payment,Complaint
