feedback_id,customer_id,date,text,product,department,channel,location,segment,rating,status,sentiment,emotion,category,intent,priority,severity
FB-11734,CU-5997,2026-08-06T21:16:00,"To be clear, Is there a sandbox for InsightPay chargebacks? A workaround exists but it is not acceptable long term. Thanks.",InsightAnalytics,Engineering,Chat,Ahmedabad,Startup,3,open,neutral,satisfaction,UX/UI,Suggestion,low,2
FB-10242,CU-5644,2026-08-06T18:40:00,"Hi, Price increase was communicated poorly and feels unjustified. We have seen this twice already. Thanks.",InsightPay,Finance,Mobile App,Delhi,Consumer,2,resolved,negative,anger,Technical Issue,Bug Report,high,4
FB-11587,CU-3365,2026-08-06T17:15:00,"For the record, Payment reconciliation finally works without manual edits. This happened after the latest update. Logged by the duty manager.",InsightPortal,Engineering,Survey,Ahmedabad,Consumer,5,in_progress,negative,neutral,Customer Support,Complaint,medium,3
FB-11199,CU-5637,2026-08-06T12:42:00,"Hi, Refund for a failed InsightChat payment is still pending. Our enterprise account is affected. Please advise.",InsightAnalytics,HR,Mobile App,Singapore,Enterprise,1,open,negative,anger,Account,Request,critical,5
FB-10794,CU-6629,2026-08-06T11:21:00,"Hello team, We are happy with the reliability of InsightCloud this quarter. We have seen this twice already. Logged by the duty manager.",InsightCloud,Engineering,Mobile App,Chennai,Consumer,4,in_progress,positive,joy,Product,Praise,low,1
FB-12000,CU-6917,2026-08-06T10:13:00,"To be clear, Delivery to Bangalore was earlier than the estimated date. The issue started last Thursday. Looking forward to a fix.",InsightPortal,Operations,Survey,Chennai,SMB,5,open,positive,satisfaction,Delivery,Praise,low,1
FB-10192,CU-8259,2026-08-06T07:08:00,"Hi, Payment reconciliation finally works without manual edits. I attached screenshots in the original ticket. Looking forward to a fix.",InsightAnalytics,Customer Support,Survey,Bangalore,Internal,5,in_progress,negative,frustration,Customer Support,Complaint,medium,2
FB-11240,CU-5167,2026-08-06T02:32:00,"For the record, The interface redesign is intuitive and reduced training time. The team mentioned InsightMobile in the weekly review. Logged by the duty manager.",InsightCRM,Finance,Survey,New York,Partner,5,resolved,positive,joy,UX/UI,Praise,low,1
FB-11654,CU-5602,2026-08-06T01:14:00,"To be clear, Delivery to New York was earlier than the estimated date. The team mentioned InsightChat in the weekly review. Logged by the duty manager.",InsightAnalytics,Operations,Mobile App,Delhi,Enterprise,4,in_progress,positive,satisfaction,Product,Praise,low,1
FB-10798,CU-4028,2026-08-05T20:42:00,"Hi, Billing error created an unauthorized charge on our card. This is impacting customers in London. Looking forward to a fix.",InsightChat,Operations,Mobile App,Ahmedabad,Consumer,2,resolved,negative,anger,Payment,Complaint,critical,5
FB-11072,CU-4565,2026-08-05T18:44:00,Quick update: Authentication failures are blocking our entire sales team. The team mentioned InsightCRM in the weekly review.,InsightCloud,HR,Chat,Kolkata,Internal,1,resolved,positive,joy,Product,Praise,low,2
FB-12030,CU-8887,2026-08-05T18:29:00,Quick update: Where can I find the data retention policy? A workaround exists but it is not acceptable long term. Sharing this from the field.,InsightCRM,Engineering,Website,Surat,Enterprise,3,open,neutral,confusion,Other,Question,low,1
FB-10489,CU-6045,2026-08-05T17:42:00,Quick update: It would help to have saved filters on the explorer table. The issue started last Thursday. Please advise.,InsightChat,Sales,Chat,Singapore,Internal,3,resolved,neutral,neutral,Technical Issue,Suggestion,low,1
FB-12111,CU-3559,2026-08-05T11:10:00,"To be clear, Authentication failures are blocking our entire sales team. I attached screenshots in the original ticket.",InsightAnalytics,Customer Support,Chat,Chennai,Partner,1,open,positive,joy,Product,Praise,low,2
FB-12124,CU-8033,2026-08-05T07:53:00,"To be clear, The current plan is acceptable but we will compare alternatives. This is impacting customers in Surat. Sharing this from the field.",InsightPay,Finance,Survey,Kolkata,Internal,3,closed,neutral,neutral,Performance,Information,low,1
FB-11436,CU-4120,2026-08-05T07:00:00,"To be clear, Need access for two additional analysts this week. I attached screenshots in the original ticket. Please advise.",InsightPortal,Customer Support,Website,Kolkata,Partner,3,closed,neutral,neutral,Customer Support,Request,low,1
FB-11917,CU-8750,2026-08-05T02:55:00,"Hi, Response time from customer support is getting worse every week. I attached screenshots in the original ticket. Logged by the duty manager.",InsightChat,Customer Support,Website,Chennai,Partner,2,open,neutral,neutral,Customer Support,Request,medium,2
FB-10860,CU-4783,2026-08-05T02:30:00,"Hi, Appreciate the proactive outage communication. The team mentioned InsightPay in the weekly review.",InsightChat,Engineering,Survey,Dubai,Partner,5,open,positive,joy,Product,Praise,low,2
FB-11448,CU-5565,2026-08-05T01:11:00,Refund was issued quickly and with a clear explanation. A workaround exists but it is not acceptable long term. Logged by the duty manager.,InsightCRM,Product,Mobile App,Hyderabad,Partner,4,closed,positive,satisfaction,Payment,Suggestion,low,2
FB-11399,CU-2890,2026-08-05T00:43:00,"Hi, I am frustrated that the InsightCRM app crashes during payment. This is impacting customers in Singapore. Looking forward to a fix.",InsightCRM,Engineering,Email,Surat,SMB,2,resolved,negative,neutral,Technical Issue,Praise,high,5
FB-10414,CU-5958,2026-08-04T22:43:00,"To be clear, Security alert fired after suspicious admin logins. This is impacting customers in Bangalore. Sharing this from the field.",InsightChat,Engineering,Mobile App,Mumbai,SMB,2,open,neutral,anger,Security,Bug Report,high,3
FB-11085,CU-9924,2026-08-04T16:34:00,Duplicate invoices were sent to finance after renewal. The team mentioned InsightChat in the weekly review. Looking forward to a fix.,InsightPortal,Finance,Chat,Hyderabad,SMB,2,resolved,positive,satisfaction,Product,Praise,low,3
FB-10152,CU-3078,2026-08-04T13:58:00,"Hi, Delivery to New York was earlier than the estimated date. Our enterprise account is affected. Sharing this from the field.",InsightPay,Operations,Email,Delhi,SMB,5,resolved,negative,satisfaction,Account,Request,low,1
FB-11277,CU-7288,2026-08-04T13:36:00,"To be clear, Noting that the internal survey was completed by HR. This happened after the latest update. Sharing this from the field.",InsightMobile,Customer Support,Chat,Pune,Enterprise,3,closed,neutral,neutral,Technical Issue,Complaint,medium,1
FB-10118,CU-7184,2026-08-04T13:23:00,"Hello team, The InsightCloud checkout failed and I was still charged. This happened after the latest update. Thanks.",InsightChat,Engineering,Chat,Surat,Internal,2,closed,negative,anger,Product,Complaint,critical,5
FB-11195,CU-9761,2026-08-04T13:05:00,"Hello team, Security alert fired after suspicious admin logins. Our enterprise account is affected. Please advise.",InsightPortal,Engineering,Email,Mumbai,Startup,2,resolved,neutral,anger,Security,Request,high,3
FB-12156,CU-9362,2026-08-04T05:59:00,"For the record, Noting that the internal survey was completed by HR. I am following up because there was no response. Sharing this from the field.",InsightCRM,Operations,Website,Dubai,Consumer,3,open,neutral,neutral,Other,Information,low,1
FB-10801,CU-4527,2026-08-04T05:06:00,"Hi, Where can I find the data retention policy? This happened after the latest update. Looking forward to a fix.",InsightPay,Product,Call Center,Pune,Internal,4,resolved,negative,confusion,Other,Question,medium,1
FB-12054,CU-3897,2026-08-04T01:46:00,"For the record, How do I export department analytics for last quarter? Our enterprise account is affected. Sharing this from the field.",InsightAnalytics,Engineering,Call Center,Singapore,Internal,3,resolved,neutral,confusion,Account,Request,low,1
FB-10935,CU-6848,2026-08-04T01:44:00,"Quick update: Average experience so far, we are still evaluating InsightCloud. Please treat this as high priority. Logged by the duty manager.",InsightPortal,Customer Support,Email,Delhi,Partner,4,in_progress,negative,neutral,Technical Issue,Bug Report,medium,3
FB-DUP-7,CU-2006,2026-08-04T00:00:00,Authentication failures have been blocking the sales team since last Thursday.,InsightPay,Engineering,Email,Mumbai,Enterprise,2,open,negative,frustration,Technical Issue,Bug Report,high,3
FB-12133,CU-1250,2026-08-03T18:48:00,"To be clear, Need access for two additional analysts this week. The issue started last Thursday. Logged by the duty manager.",InsightCRM,Engineering,Mobile App,Jaipur,Startup,4,open,neutral,neutral,Customer Support,Request,low,1
FB-11640,CU-7559,2026-08-03T17:14:00,"Hello team, Great improvement in mobile performance this month. This happened after the latest update. Logged by the duty manager.",InsightPay,HR,Internal,Kolkata,Partner,5,in_progress,negative,disappointment,Technical Issue,Complaint,high,3
FB-11157,CU-3202,2026-08-03T17:08:00,"Hello team, I am angry that the ticket was closed without a resolution. Please treat this as high priority. Sharing this from the field.",InsightPortal,Customer Support,Survey,Hyderabad,Enterprise,1,open,neutral,neutral,Customer Support,Praise,medium,2
FB-11011,CU-9828,2026-08-03T16:32:00,"To be clear, Sales team prepared a thoughtful demo for our executives. I attached screenshots in the original ticket.",InsightAnalytics,Customer Support,Chat,Singapore,Partner,4,in_progress,positive,satisfaction,Product,Praise,low,1
FB-10630,CU-9284,2026-08-03T13:23:00,Response time from customer support is getting worse every week. The team mentioned InsightSecure in the weekly review. Logged by the duty manager.,InsightCloud,Customer Support,Mobile App,Hyderabad,Internal,2,in_progress,positive,neutral,Customer Support,Request,low,2
FB-10130,CU-4700,2026-08-03T12:29:00,"Hi, Package for InsightCRM arrived damaged in Delhi. I am following up because there was no response. Please advise.",InsightCRM,Finance,Social Media,London,Enterprise,2,resolved,neutral,neutral,Customer Support,Praise,medium,2
FB-11835,CU-7393,2026-08-03T12:05:00,"For the record, Price increase was communicated poorly and feels unjustified. This happened after the latest update. Looking forward to a fix.",InsightCloud,HR,Chat,Mumbai,Internal,2,in_progress,negative,disappointment,Product,Complaint,critical,4
FB-10711,CU-4519,2026-08-03T11:57:00,Price increase was communicated poorly and feels unjustified. This happened after the latest update. Logged by the duty manager.,InsightPortal,Finance,Email,Hyderabad,Consumer,2,open,negative,disappointment,Technical Issue,Complaint,critical,5
FB-10782,CU-6227,2026-08-03T02:36:00,"Hi, Please confirm whether SSO is enabled for partner accounts. Please treat this as high priority. Logged by the duty manager.",InsightAnalytics,Finance,Internal,Hyderabad,Internal,4,resolved,neutral,neutral,Security,Request,low,1
FB-10363,CU-9035,2026-08-03T02:32:00,Price increase was communicated poorly and feels unjustified. Our enterprise account is affected. Sharing this from the field.,InsightChat,Operations,Survey,Jaipur,Partner,2,in_progress,negative,satisfaction,Account,Request,medium,3
FB-DUP-6,CU-2005,2026-08-03T00:00:00,Authentication failures are blocking our entire sales team. The issue started last Thursday.,InsightPay,Engineering,Chat,Mumbai,Enterprise,2,open,negative,frustration,Technical Issue,Bug Report,critical,4
FB-11669,CU-6278,2026-08-02T23:37:00,Response time from customer support is getting worse every week. We have seen this twice already. Logged by the duty manager.,InsightMobile,Customer Support,Email,Jaipur,Internal,2,open,negative,anger,Customer Support,Request,medium,2
FB-11600,CU-8365,2026-08-02T18:30:00,Great improvement in mobile performance this month. The team mentioned InsightChat in the weekly review.,InsightChat,Product,Survey,Bangalore,Internal,4,resolved,positive,joy,Performance,Praise,low,1
FB-11086,CU-4820,2026-08-02T16:43:00,Quick update: Consider adding a weekly digest for managers. Please treat this as high priority. Please advise.,InsightSecure,Operations,Mobile App,Mumbai,Enterprise,3,open,neutral,neutral,Technical Issue,Suggestion,low,1
FB-11497,CU-3916,2026-08-02T11:53:00,"Hello team, Chat support was knowledgeable and patient. The issue started last Thursday.",InsightSecure,Customer Support,Chat,Surat,Consumer,4,in_progress,positive,satisfaction,Customer Support,Praise,low,1
FB-11824,CU-2661,2026-08-02T11:01:00,"Hello team, Sales team prepared a thoughtful demo for our executives. Our enterprise account is affected. Logged by the duty manager.",InsightPortal,Finance,Chat,Surat,SMB,4,closed,positive,joy,Account,Request,low,1
FB-11221,CU-5216,2026-08-02T10:38:00,"Hello team, The latest release introduced a severe performance regression. A workaround exists but it is not acceptable long term. Sharing this from the field.",InsightPortal,Engineering,Website,Hyderabad,SMB,1,resolved,neutral,disappointment,UX/UI,Suggestion,medium,2
FB-12198,CU-2896,2026-08-02T10:28:00,"To be clear, We cannot login to InsightChat since the last update. The team mentioned InsightPay in the weekly review.",InsightCRM,Engineering,Call Center,Pune,Consumer,1,resolved,positive,frustration,Technical Issue,Bug Report,medium,2
FB-10847,CU-6349,2026-08-02T08:36:00,"Hi, We cannot login to InsightPortal since the last update. Please treat this as high priority. Sharing this from the field.",InsightSecure,Engineering,Email,London,Internal,2,resolved,negative,frustration,Technical Issue,Bug Report,critical,4
FB-10750,CU-9768,2026-08-02T05:12:00,Price increase was communicated poorly and feels unjustified. I attached screenshots in the original ticket. Sharing this from the field.,InsightPortal,Customer Support,Call Center,Hyderabad,Enterprise,1,resolved,negative,satisfaction,Customer Support,Praise,medium,3
FB-10716,CU-4421,2026-08-02T02:20:00,"To be clear, We may add twenty more seats if the trial goes well. Please treat this as high priority.",InsightSecure,Operations,Call Center,Bangalore,SMB,4,in_progress,neutral,neutral,Product,Suggestion,low,1
FB-DUP-5,CU-2004,2026-08-02T00:00:00,We cannot login to InsightPay since the last update. Please treat this as high priority.,InsightPay,Engineering,Email,Mumbai,Enterprise,1,open,negative,frustration,Technical Issue,Bug Report,critical,4
FB-11619,CU-8114,2026-08-01T15:46:00,Package for InsightSecure arrived damaged in Jaipur. Please treat this as high priority. Thanks.,InsightPortal,Operations,Internal,Chennai,SMB,2,closed,negative,neutral,Technical Issue,Suggestion,medium,3
FB-12152,CU-5902,2026-08-01T13:03:00,Please confirm whether SSO is enabled for partner accounts. This is impacting customers in New York. Thanks.,InsightCRM,Finance,Survey,Pune,SMB,3,resolved,neutral,neutral,Security,Request,low,1
FB-10215,CU-4652,2026-08-01T10:23:00,"To be clear, Chat support was knowledgeable and patient. I am following up because there was no response. Thanks.",InsightPay,Customer Support,Internal,Hyderabad,Partner,5,resolved,positive,satisfaction,Customer Support,Praise,low,1
FB-DUP-4,CU-2003,2026-08-01T00:00:00,I cannot login to InsightPay since the last update. Please treat this as high priority.,InsightPay,Engineering,Chat,Mumbai,Enterprise,1,open,negative,frustration,Technical Issue,Bug Report,critical,4
FB-10254,CU-4271,2026-07-31T23:43:00,"Hi, Can you schedule a training session for the operations team? We have seen this twice already. Thanks.",InsightCRM,Engineering,Call Center,New York,SMB,3,resolved,neutral,neutral,Customer Support,Request,low,1
FB-11426,CU-2405,2026-07-31T16:10:00,Quick update: The current plan is acceptable but we will compare alternatives. The issue started last Thursday. Logged by the duty manager.,InsightChat,Engineering,Call Center,Pune,Enterprise,3,resolved,neutral,neutral,Performance,Information,low,1
FB-10079,CU-3538,2026-07-31T15:12:00,"Hi, Need access for two additional analysts this week. This is impacting customers in Ahmedabad. Please advise.",InsightCRM,Operations,Mobile App,Bangalore,Enterprise,3,in_progress,neutral,neutral,Customer Support,Request,low,1
FB-11062,CU-1943,2026-07-31T14:11:00,"Hi, The interface redesign is intuitive and reduced training time. The issue started last Thursday. Thanks.",InsightSecure,Finance,Survey,Kolkata,SMB,4,open,negative,frustration,UX/UI,Praise,medium,1
FB-11107,CU-4074,2026-07-31T07:31:00,"Hi, Search is too slow to be usable during business hours. This is impacting customers in New York. Sharing this from the field.",InsightCRM,Finance,Internal,Jaipur,Enterprise,1,resolved,positive,joy,Performance,Praise,low,2
FB-10351,CU-1724,2026-07-31T04:58:00,"Hi, Sharing an FYI that finance will review invoices tomorrow. This is impacting customers in Delhi. Looking forward to a fix.",InsightPay,Engineering,Website,Chennai,Internal,3,resolved,neutral,neutral,Other,Information,low,2
FB-DUP-3,CU-2002,2026-07-31T00:00:00,Delivery was extremely late and the support team did not respond to my follow-up.,InsightPortal,Customer Support,Email,Ahmedabad,Enterprise,1,open,negative,frustration,Customer Support,Complaint,critical,3
FB-10391,CU-2833,2026-07-30T23:53:00,"Hi, I am frustrated that the InsightSecure app crashes during payment. Our enterprise account is affected. Logged by the duty manager.",InsightMobile,Engineering,Mobile App,Kolkata,Internal,2,resolved,negative,joy,Account,Request,high,4
FB-11774,CU-4782,2026-07-30T22:17:00,"Hi, I am delighted with the quality of the latest InsightSecure release. Our enterprise account is affected. Sharing this from the field.",InsightCloud,Engineering,Internal,Singapore,Enterprise,5,open,positive,joy,Product,Praise,low,1
FB-11597,CU-4820,2026-07-30T20:53:00,Quick update: Feature request: webhook retries with exponential backoff. This is impacting customers in Ahmedabad. Please advise.,InsightPortal,Finance,Mobile App,London,Consumer,3,resolved,negative,neutral,Customer Support,Request,low,1
FB-10398,CU-4747,2026-07-30T18:14:00,Quick update: We cannot login to InsightSecure since the last update. Our enterprise account is affected. Please advise.,InsightPay,Engineering,Mobile App,Chennai,SMB,2,open,negative,frustration,Account,Request,high,2
FB-10292,CU-6599,2026-07-30T17:17:00,Great improvement in mobile performance this month. A workaround exists but it is not acceptable long term. Logged by the duty manager.,InsightCRM,Operations,Chat,London,SMB,5,open,neutral,neutral,Performance,Suggestion,low,1
FB-11412,CU-8395,2026-07-30T11:12:00,I am angry that the ticket was closed without a resolution. Our enterprise account is affected. Logged by the duty manager.,InsightCloud,Customer Support,Internal,Pune,Consumer,2,resolved,negative,neutral,Customer Support,Request,medium,2
FB-10594,CU-9520,2026-07-30T08:19:00,"Hi, Call center agents read from a script and did not understand the issue. We have seen this twice already. Please advise.",InsightCRM,Customer Support,Survey,Dubai,Partner,2,open,negative,anger,Customer Support,Bug Report,critical,3
FB-10909,CU-4934,2026-07-30T06:38:00,Quick update: Price increase was communicated poorly and feels unjustified. This happened after the latest update. Thanks.,InsightMobile,Customer Support,Internal,Bangalore,Startup,1,open,negative,disappointment,Technical Issue,Complaint,critical,5
FB-11006,CU-9802,2026-07-30T06:09:00,"Hello team, Payment reconciliation finally works without manual edits. The team mentioned InsightSecure in the weekly review. Thanks.",InsightPortal,Product,Internal,London,Partner,4,resolved,positive,joy,Product,Praise,low,2
FB-10379,CU-1865,2026-07-30T04:01:00,"Hi, I am delighted with the quality of the latest InsightAnalytics release. The team mentioned InsightCloud in the weekly review. Looking forward to a fix.",InsightCloud,Finance,Mobile App,Chennai,Internal,5,open,positive,joy,Product,Praise,low,1
FB-11540,CU-9724,2026-07-30T03:37:00,"To be clear, Is there a sandbox for InsightPay chargebacks? The team mentioned InsightSecure in the weekly review. Thanks.",InsightCRM,Product,Mobile App,Kolkata,Internal,4,resolved,positive,joy,Product,Praise,low,2
FB-10968,CU-3307,2026-07-30T02:56:00,"Hi, Documentation is outdated and caused a production misconfiguration. I attached screenshots in the original ticket. Thanks.",InsightMobile,Customer Support,Internal,Ahmedabad,Consumer,2,open,negative,confusion,Documentation,Praise,medium,2
FB-DUP-2,CU-2001,2026-07-30T00:00:00,Delivery was extremely late and customer support did not respond. We have seen this twice already.,InsightPortal,Customer Support,Chat,Ahmedabad,Enterprise,1,open,negative,frustration,Customer Support,Complaint,critical,3
FB-11513,CU-5168,2026-07-29T23:33:00,"Hi, The onboarding specialist made InsightAnalytics easy to adopt. A workaround exists but it is not acceptable long term. Thanks.",InsightChat,Engineering,Website,Kolkata,Consumer,5,resolved,positive,joy,UX/UI,Praise,low,1
FB-11165,CU-5417,2026-07-29T19:32:00,"Hello team, It would help to have saved filters on the explorer table. Our enterprise account is affected. Thanks.",InsightPortal,HR,Survey,Singapore,Startup,4,open,neutral,neutral,Account,Suggestion,low,1
FB-11862,CU-4787,2026-07-29T18:24:00,"For the record, Duplicate invoices were sent to finance after renewal. The team mentioned InsightCRM in the weekly review.",InsightPortal,Finance,Chat,Chennai,SMB,2,closed,positive,neutral,Product,Praise,low,3
FB-10872,CU-6473,2026-07-29T17:57:00,"To be clear, Customer support resolved our incident in twenty minutes. The team mentioned InsightSecure in the weekly review.",InsightCRM,Customer Support,Email,Mumbai,Internal,5,closed,positive,joy,Customer Support,Praise,low,1
FB-11120,CU-8717,2026-07-29T16:58:00,"Hello team, I am frustrated that the InsightPay app crashes during payment. We have seen this twice already.",InsightCloud,Engineering,Internal,Mumbai,Consumer,2,in_progress,negative,anger,Technical Issue,Bug Report,critical,5
FB-10458,CU-2071,2026-07-29T16:51:00,"Hello team, We are happy with the reliability of InsightCloud this quarter. The issue started last Thursday. Please advise.",InsightChat,Finance,Mobile App,Mumbai,SMB,5,resolved,positive,joy,Product,Praise,low,1
FB-10848,CU-7630,2026-07-29T16:19:00,The interface redesign is intuitive and reduced training time. I am following up because there was no response. Looking forward to a fix.,InsightPortal,Finance,Website,Jaipur,Startup,5,resolved,positive,joy,UX/UI,Praise,low,1
FB-10278,CU-1955,2026-07-29T13:52:00,"For the record, Billing error created an unauthorized charge on our card. Please treat this as high priority.",InsightSecure,HR,Social Media,Kolkata,Enterprise,2,resolved,neutral,anger,Technical Issue,Suggestion,critical,5
FB-11834,CU-7567,2026-07-29T09:31:00,"Hi, Payment reconciliation finally works without manual edits. This is impacting customers in Jaipur. Thanks.",InsightMobile,Sales,Mobile App,Chennai,Startup,4,resolved,negative,anger,Customer Support,Bug Report,medium,2
FB-11250,CU-6717,2026-07-29T06:45:00,"For the record, We may add twenty more seats if the trial goes well. This happened after the latest update.",InsightCloud,Engineering,Social Media,Dubai,Startup,3,open,neutral,neutral,Product,Complaint,medium,1
FB-12036,CU-4614,2026-07-29T04:48:00,"For the record, The InsightPortal rollout is scheduled for next Monday in Chennai. Please treat this as high priority. Please advise.",InsightPortal,Engineering,Internal,Pune,Startup,4,open,neutral,neutral,Technical Issue,Suggestion,low,1
FB-11837,CU-3937,2026-07-29T04:20:00,Quick update: Is there a sandbox for InsightPay chargebacks? We have seen this twice already. Thanks.,InsightMobile,Product,Call Center,Hyderabad,SMB,3,open,negative,anger,Technical Issue,Bug Report,high,4
FB-11273,CU-5073,2026-07-29T04:14:00,Quick update: Sharing an FYI that finance will review invoices tomorrow. We have seen this twice already. Sharing this from the field.,InsightPortal,Product,Website,Mumbai,Partner,4,closed,neutral,anger,Technical Issue,Information,low,2
FB-10428,CU-1085,2026-07-29T03:28:00,"To be clear, Please confirm whether SSO is enabled for partner accounts. I attached screenshots in the original ticket. Please advise.",InsightAnalytics,Customer Support,Internal,Hyderabad,SMB,3,resolved,neutral,neutral,Security,Request,low,1
FB-11635,CU-3520,2026-07-29T02:20:00,"Hello team, Please confirm whether SSO is enabled for partner accounts. This is impacting customers in Hyderabad.",InsightPay,Product,Website,Hyderabad,Partner,3,in_progress,neutral,neutral,Security,Request,low,1
FB-DUP-1,CU-2000,2026-07-29T00:00:00,Delivery was extremely late and customer support did not respond. This happened after the latest update.,InsightPortal,Customer Support,Email,Ahmedabad,Enterprise,1,open,negative,frustration,Customer Support,Complaint,critical,3
FB-11390,CU-9613,2026-07-28T22:29:00,"Hi, Security alert fired after suspicious admin logins. This happened after the latest update. Please advise.",InsightAnalytics,Engineering,Survey,Pune,Consumer,1,resolved,negative,anger,Security,Complaint,critical,5
FB-11387,CU-8805,2026-07-28T22:04:00,"For the record, I am frustrated that the InsightCloud app crashes during payment. A workaround exists but it is not acceptable long term. Please advise.",InsightCRM,Engineering,Survey,Chennai,Consumer,2,open,neutral,neutral,UX/UI,Suggestion,medium,4
FB-12056,CU-9521,2026-07-28T20:43:00,"To be clear, Appreciate the proactive outage communication. We have seen this twice already. Please advise.",InsightSecure,Customer Support,Chat,Jaipur,Internal,4,open,neutral,anger,Technical Issue,Bug Report,high,2
FB-10100,CU-3610,2026-07-28T18:46:00,"To be clear, Response time from customer support is getting worse every week. This happened after the latest update. Looking forward to a fix.",InsightSecure,Customer Support,Internal,Kolkata,Consumer,2,in_progress,negative,frustration,Customer Support,Request,high,2
FB-11185,CU-1732,2026-07-28T14:47:00,"Hello team, The InsightCloud rollout is scheduled for next Monday in Pune. I am following up because there was no response. Thanks.",InsightPortal,Finance,Chat,Ahmedabad,Partner,3,resolved,positive,frustration,Delivery,Praise,low,1
FB-11487,CU-7478,2026-07-28T11:26:00,"Hi, The latest release introduced a severe performance regression. Please treat this as high priority. Logged by the duty manager.",InsightPortal,Operations,Survey,Hyderabad,Consumer,2,resolved,negative,disappointment,Product,Suggestion,high,2
FB-10338,CU-1904,2026-07-28T11:21:00,"For the record, The current plan is acceptable but we will compare alternatives. The issue started last Thursday. Looking forward to a fix.",InsightAnalytics,Engineering,Mobile App,Hyderabad,Partner,4,resolved,neutral,neutral,Performance,Information,low,1
FB-11952,CU-7945,2026-07-28T08:10:00,"Hello team, Documentation update saved our engineering team hours. Please treat this as high priority.",InsightCRM,Sales,Internal,Singapore,Enterprise,4,resolved,neutral,joy,Product,Praise,low,1
